"min","max","age","susceptible","resistant"
NA,25,"<26",49,4
26,35,"30.5",53,8
36,45,"40.5",63,10
46,55,"50.5",80,12
56,65,"60.5",99,19
66,75,"70.5",210,32
76,85,"80.5",257,48
86,NA,">85",129,27
