min,max,age,susceptible,resistant
0,0,0,1394,76
1,4,2.5,1937,100
5,9,7,1894,71
10,14,12,835,33
15,19,17,1611,64
20,24,22,2727,93
25,29,27,3715,143
30,34,32,3956,127
35,39,37,3268,172
40,44,42,2814,167
45,49,47,2697,184
50,54,52,2672,226
55,59,57,3199,274
60,64,62,3918,426
65,69,67,4278,545
70,74,72,5338,666
75,79,77,6196,837
80,84,82,5758,778
85,,>84,5461,794
