min,max,age,susceptible,resistant,,
16,24,20,49,21,,
25,39,32,182,49,,
40,54,47,342,124,,
55,64,59.5,399,108,,
65,74,69.5,672,167,,
75,84,79.5,572,90,,
85,,>84,291,32,,
,,,,,,
