min,max,age,susceptible,resistant
13,20,16.5,315,159
21,30,25.5,1226,598
31,40,35.5,1159,633
41,50,45.5,836,432
51,60,55.5,649,376
61,70,65.5,461,298
71,80,75.5,467,353
81,,>80,396,342
