min,max,age,susceptible,resistant,,,,,,
0,20,10,72,3,,,,,,
21,40,30.5,101,11,,,,,,
41,60,50.5,95,4,,,,,,
61,,>60,63,0,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
