"id","age","mean","mode","lower","upper","variance"
"All","max",0.215673037394797,0.18,0.0976536467897564,0.347938498675137,0.00451016446526045
"All","min",0.0996841812188409,0.1,0.0507822196494731,0.150952069633274,0.000677189095473753
"All","age_max",0.82313,1,0.55,1,0.0283680967193439
"All","age_min",0.025764,0,0,0,0.0229321627365473
"All","zero",0.100152720868365,0.1,0.0501009165637305,0.150952069633274,0.00068518794656083
"All","hundred",0.201653511254968,0.17,0.0718223521129878,0.342577491859016,0.00533980491223077
"All","max_difference",0.115988856175956,0.09,0.022116341653869,0.228671644779592,0.00319867261657048
"All","age_max_difference",0.797366,1,0.55,1,0.0695821584756951
"All","zero_hundred_difference",0.101500790386604,0.08,-0.0109257521754372,0.228671644779592,0.00402145628570783
"All","1",0.100152720868365,0.1,0.0501009165637305,0.150952069633274,0.00068518794656083
"All","2",0.101819072902797,0.1,0.0522144786379587,0.153152896903979,0.000689564769930271
"All","3",0.103495749849948,0.1,0.0537244320852505,0.155651103702429,0.000694994263020814
"All","4",0.105182019479145,0.1,0.054343686615649,0.156646227808206,0.000701500695113601
"All","5",0.106877131535391,0.1,0.0584559223108984,0.161352860020065,0.000709106509427898
"All","6",0.108580318663203,0.1,0.0583067910651787,0.162095418822042,0.000717832123106213
"All","7",0.110290797374117,0.11,0.0615984491595592,0.166050867599641,0.000727695737178716
"All","8",0.112007769054515,0.11,0.0630462138331016,0.16784525181817,0.000738713158154217
"All","9",0.113730421010245,0.11,0.0646642946347622,0.170105101484971,0.00075089763282727
"All","10",0.115457927544359,0.11,0.065492913417603,0.171623173654277,0.000764259697814537
"All","11",0.117189451064118,0.11,0.0662047032049206,0.173374436027901,0.000778807045239282
"All","12",0.118924143213347,0.11,0.0671342678402649,0.175259995006883,0.000794544405871846
"All","13",0.120661146026116,0.11,0.0688292507487884,0.178204611763857,0.000811473450907542
"All","14",0.122399593097678,0.12,0.0694043558567926,0.179610284036561,0.000829592713423297
"All","15",0.124138610768578,0.11,0.0703885878607784,0.182066216608729,0.000848897530402446
"All","16",0.125877319317862,0.12,0.0726968594966113,0.185638668870615,0.000869380006055294
"All","17",0.127614834161324,0.12,0.074566982000877,0.18930543035833,0.000891028996993744
"All","18",0.129350267050827,0.13,0.0755699396643181,0.192433366044525,0.000913830119643584
"All","19",0.131082727270806,0.12,0.0749838373896656,0.19324037636552,0.000937765780100358
"All","20",0.132811322828171,0.12,0.0765573857988611,0.196458879680679,0.000962815226456367
"All","21",0.134535161631978,0.12,0.0752102656519516,0.196712993964359,0.00098895462344958
"All","22",0.136253352659404,0.14,0.0767097816606695,0.199662466151729,0.00101615714911226
"All","23",0.137965007104701,0.14,0.0767233693124414,0.201337813523848,0.00104439311292994
"All","24",0.139669239508056,0.13,0.0765814662849275,0.203016131121668,0.00107363009486209
"All","25",0.141365168861447,0.13,0.0811892221219427,0.209279467045995,0.00110383310442573
"All","26",0.14305191968883,0.13,0.0829299845929523,0.21283631980074,0.0011349647589045
"All","27",0.144728623098227,0.13,0.0827003543295961,0.214399403346939,0.00116698547961881
"All","27",0.144728623098227,0.15,0.0827003543295961,0.214399403346939,0.00116698547961881
"All","28",0.146394417803507,0.14,0.0843530460808806,0.217881299382501,0.00119985370507931
"All","29",0.148048451113915,0.14,0.084406829145238,0.219824638631796,0.0012335261197465
"All","30",0.14968987988964,0.14,0.0852856045605404,0.222363313549707,0.00126795789703444
"All","31",0.151317871461964,0.14,0.0865580465042479,0.225565599913212,0.00130310295512666
"All","32",0.152931604516783,0.14,0.0864953791761034,0.227311954677052,0.001338914224117
"All","33",0.154530269940525,0.15,0.0879655736143725,0.230638037124654,0.00137534392294833
"All","34",0.156113071627733,0.15,0.0885235360248509,0.233156005682942,0.00141234384459568
"All","35",0.157679227249809,0.15,0.0872301143295274,0.233374939896364,0.00144986564792857
"All","36",0.159227968984627,0.15,0.0883515280852205,0.236213416691368,0.0014878611546885
"All","37",0.160758544206948,0.15,0.0883571010952406,0.238053335429888,0.00152628265003054
"All","38",0.16227021613975,0.15,0.0895656541467873,0.241276740079536,0.0015650831851034
"All","39",0.163762264466789,0.15,0.0911798791009902,0.244757329032308,0.00160421688017676
"All","40",0.165233985906861,0.15,0.091258274476956,0.246350209682854,0.00164363922686952
"All","41",0.166684694750407,0.17,0.0920509408227138,0.249259141285538,0.00168330738808475
"All","42",0.168113723359246,0.16,0.0900501594519924,0.249125770331115,0.0017231804943166
"All","43",0.169520422630338,0.16,0.0909035750346886,0.251855452291077,0.00176321993505948
"All","44",0.170904162424607,0.16,0.0912678004674472,0.253631675039294,0.0018033896441198
"All","45",0.172264331961944,0.16,0.0919752320123906,0.256506794581637,0.00184365637770387
"All","46",0.173600340183589,0.16,0.0944584617519048,0.26092764731055,0.0018839899842314
"All","47",0.17491161608318,0.16,0.0946306789524507,0.262680639262122,0.00192436366490175
"All","48",0.176197609007789,0.16,0.0941061891003218,0.264202625471433,0.0019647542241181
"All","49",0.177457788930313,0.16,0.0960603492175601,0.268049742316024,0.00200514230895277
"All","50",0.178691646694615,0.16,0.096770336837471,0.270719427528327,0.00204551263691411
"All","51",0.179898694234835,0.16,0.0932263066458575,0.269545128496007,0.00208585421135088
"All","52",0.18107846477026,0.17,0.099254675589453,0.27759803420672,0.00212616052390371
"All","53",0.182230512977168,0.17,0.0965734953776497,0.276698052359382,0.00216642974348397
"All","54",0.183354415139016,0.17,0.0962745603062329,0.278231215534667,0.0022066648913288
"All","55",0.184449769276306,0.17,0.0971334787142975,0.280979915468532,0.00224687400174526
"All","56",0.185516195257442,0.17,0.100933522706966,0.286492179298629,0.00228707026821857
"All","57",0.186553334891818,0.17,0.100249774460353,0.287611366570812,0.00232727217461664
"All","58",0.187560852006316,0.17,0.0993126792087429,0.288570778220402,0.00236750361127732
"All","59",0.188538432506352,0.16,0.101409475535409,0.292227597711376,0.00240779397581533
"All","60",0.189485784422496,0.16,0.101824363368002,0.294163567324264,0.00244817825853209
"All","61",0.190402637943633,0.16,0.101854282130156,0.295821290911898,0.00248869711235525
"All","62",0.191288745437548,0.18,0.101540635344992,0.296973976926906,0.00252939690727367
"All","63",0.19214388145972,0.17,0.102082746980321,0.29929946333112,0.0025703297692704
"All","64",0.192967842751,0.17,0.100968623806123,0.300325873084971,0.00261155360378853
"All","65",0.193760448224791,0.17,0.100707465712071,0.301378105944223,0.0026531321037952
"All","66",0.194521538944204,0.17,0.099486162807611,0.302136563660948,0.00269513474253559
"All","67",0.195250978089585,0.17,0.0985820637561793,0.30291017514895,0.00273763675109307
